집계군명,가구코드,가구수
38030110010001,ga_sd_005,165.0
38030110010002,ga_sd_005,60.0
38030110020001,ga_sd_005,22.0
38030110020101,ga_sd_005,11.0
38030110020102,ga_sd_005,12.0
38030110020103,ga_sd_005,11.0
38030110030001,ga_sd_005,61.0
38030110030002,ga_sd_005,87.0
38030110030003,ga_sd_005,23.0
38030110030004,ga_sd_005,69.0
38030110030005,ga_sd_005,50.0
38030110030006,ga_sd_005,122.0
38030110030007,ga_sd_005,89.0
38030110030008,ga_sd_005,71.0
38030110030009,ga_sd_005,111.0
38030110030010,ga_sd_005,100.0
38030110030101,ga_sd_005,18.0
38030110030102,ga_sd_005,28.0
38030310010101,ga_sd_005,18.0
38030310010102,ga_sd_005,30.0
38030310010103,ga_sd_005,16.0
38030310010104,ga_sd_005,20.0
38030310010105,ga_sd_005,22.0
38030310020001,ga_sd_005,124.0
38030310030001,ga_sd_005,73.0
38030310030002,ga_sd_005,73.0
38030320010001,ga_sd_005,49.0
38030320020001,ga_sd_005,37.0
38030320030001,ga_sd_005,60.0
38030320040001,ga_sd_005,215.0
38030320040101,ga_sd_005,27.0
38030320040102,ga_sd_005,29.0
38030320040201,ga_sd_005,63.0
38030320040202,ga_sd_005,39.0
38030320040203,ga_sd_005,28.0
38030320040204,ga_sd_005,35.0
38030320040205,ga_sd_005,27.0
38030320040206,ga_sd_005,37.0
38030320040207,ga_sd_005,29.0
38030320040301,ga_sd_005,337.0
38030320040302,ga_sd_005,66.0
38030320050001,ga_sd_005,121.0
38030330010001,ga_sd_005,87.0
38030330010002,ga_sd_005,87.0
38030330020001,ga_sd_005,153.0
38030330030001,ga_sd_005,82.0
38030340010001,ga_sd_005,108.0
38030340010002,ga_sd_005,14.0
38030340020001,ga_sd_005,145.0
38030340020002,ga_sd_005,107.0
38030350010001,ga_sd_005,98.0
38030350010002,ga_sd_005,76.0
38030350010003,ga_sd_005,103.0
38030350010004,ga_sd_005,60.0
38030350020001,ga_sd_005,151.0
38030360010001,ga_sd_005,88.0
38030360020001,ga_sd_005,162.0
38030360020002,ga_sd_005,165.0
38030370010001,ga_sd_005,74.0
38030370020001,ga_sd_005,146.0
38030370020002,ga_sd_005,131.0
38030380010001,ga_sd_005,76.0
38030380020001,ga_sd_005,125.0
38030380020002,ga_sd_005,99.0
38030390010001,ga_sd_005,84.0
38030390010002,ga_sd_005,115.0
38030390010003,ga_sd_005,73.0
38030390010004,ga_sd_005,154.0
38030390010005,ga_sd_005,90.0
38030390010006,ga_sd_005,89.0
38030400010001,ga_sd_005,52.0
38030400010002,ga_sd_005,58.0
38030400010003,ga_sd_005,50.0
38030400010004,ga_sd_005,58.0
38030400010005,ga_sd_005,15.0
38030400010006,ga_sd_005,46.0
38030400010007,ga_sd_005,67.0
38030400010008,ga_sd_005,87.0
38030400010009,ga_sd_005,58.0
38030400010010,ga_sd_005,64.0
38030400010011,ga_sd_005,42.0
38030400010012,ga_sd_005,64.0
38030400010101,ga_sd_005,118.0
38030400010102,ga_sd_005,61.0
38030400010103,ga_sd_005,24.0
38030400010104,ga_sd_005,49.0
38030400010105,ga_sd_005,33.0
38030400010106,ga_sd_005,30.0
38030400010107,ga_sd_005,155.0
38030400010301,ga_sd_005,25.0
38030400010302,ga_sd_005,24.0
