gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de,geometry
100556,19438,어린이보호,경상남도 진주시청,경상남도 진주시 진양호로51번길 16 (판문동),128.045322,35.168582,2,200,2022-11-21,POINT (128.045322 35.168582)
100557,19439,어린이보호,경상남도 진주시청,경상남도 진주시 남강로 33 (평거동),128.03974,35.165265,4,200,2022-11-21,POINT (128.03974 35.165265)
100558,19440,어린이보호,경상남도 진주시청,경상남도 진주시 평거로 294 (이현동),128.061917,35.193194,2,200,2022-11-21,POINT (128.061917 35.193194)
100559,19441,어린이보호,경상남도 진주시청,경상남도 진주시 나불로21번길 106 (이현동),128.047334,35.20229,2,200,2022-11-21,POINT (128.047334 35.20229)
100560,19442,어린이보호,경상남도 진주시청,경상남도 진주시 평거로 259 (이현동),128.062904,35.190334,2,200,2022-11-21,POINT (128.062904 35.190334)
100561,19443,어린이보호,경상남도 진주시청,경상남도 진주시 서장대로185번길 15 (이현동),128.056566,35.188976,4,200,2022-11-21,POINT (128.056566 35.188976)
100562,19444,어린이보호,경상남도 진주시청,경상남도 진주시 평거로 82 (신안동),128.068263,35.176617,3,200,2022-11-21,POINT (128.068263 35.176617)
100563,19445,어린이보호,경상남도 진주시청,경상남도 진주시 석갑로 28 (신안동),128.067683,35.175748,4,200,2022-11-21,POINT (128.067683 35.175748)
100564,19446,시설물관리,경상남도 진주시청,경상남도 진주시 공단로 255 (상평동),128.128144,35.176359,3,200,2022-11-21,POINT (128.128144 35.176359)
100565,19447,시설물관리,경상남도 진주시청,경상남도 진주시 동진로 347 (상대동),128.129298,35.180768,3,200,2022-11-21,POINT (128.129298 35.180768)
100566,19448,시설물관리,경상남도 진주시청,경상남도 진주시 남강로1385번길 7 (상대동),128.12784,35.184236,2,200,2022-11-21,POINT (128.12784 35.184236)
100567,19449,시설물관리,경상남도 진주시청,,128.125256,35.184106,3,200,2022-11-21,POINT (128.125256 35.184106)
100568,19450,교통정보수집,경상남도 진주시청,,128.143385,35.180295,1,200,2022-11-21,POINT (128.143385 35.180295)
100569,19451,교통정보수집,경상남도 진주시청,"경상남도 진주시 에나로175번길 12 (충무공동, 혁신도시중흥에스-클래스센트럴시티3단지)",128.14494,35.174591,3,200,2022-11-21,POINT (128.14494 35.174591)
100570,19452,교통정보수집,경상남도 진주시청,"경상남도 진주시 충의로 146 (충무공동, 혁신도시중흥에스-클래스더퍼스트)",128.13639,35.167097,4,200,2022-11-21,POINT (128.13639 35.167097)
100571,19453,생활방범,경상남도 진주시청,경상남도 진주시 진주대로1040번길 5-1 (동성동),128.085233,35.192741,3,200,2022-11-21,POINT (128.085233 35.192741)
100572,19454,생활방범,경상남도 진주시청,경상남도 진주시 진양호로532번길 8 (동성동),128.083699,35.192549,3,200,2022-11-21,POINT (128.083699 35.192549)
100573,19455,생활방범,경상남도 진주시청,경상남도 진주시 남강로659번길 16 (동성동),128.08341,35.192267,2,200,2022-11-21,POINT (128.08341 35.192267)
100574,19456,차량방범,경상남도 진주시청,경상남도 진주시 남강로 647 (본성동),128.083005,35.191,3,200,2022-11-21,POINT (128.083005 35.191)
100575,19457,생활방범,경상남도 진주시청,경상남도 진주시 진양호로 512 (본성동),128.081855,35.19231,4,200,2022-11-21,POINT (128.081855 35.19231)
100576,19458,생활방범,경상남도 진주시청,,128.08038,35.190996,2,200,2022-11-21,POINT (128.08038 35.190996)
100577,19459,생활방범,경상남도 진주시청,경상남도 진주시 남강로633번길 10-1 (본성동),128.080669,35.191445,2,200,2022-11-21,POINT (128.080669 35.191445)
100578,19460,생활방범,경상남도 진주시청,경상남도 진주시 진양호로 484 (남성동),128.078552,35.191257,4,200,2022-11-21,POINT (128.078552 35.191257)
100579,19461,생활방범,경상남도 진주시청,,128.079253,35.190757,1,200,2022-11-21,POINT (128.079253 35.190757)
100580,19462,생활방범,경상남도 진주시청,,128.078969,35.19051,2,200,2022-11-21,POINT (128.078969 35.19051)
