GID,idx_crime
라라387888,140.961
라라388920,1832.565
라라390892,2869.432
라라410864,524.491
라라411863,1901.462
라라412863,932.544
라라417931,62.85
라라418932,3771.784
라라449942,4734.177
라라451983,2336.404
라라452983,2538.684
라라473830,2026.761
라라486898,49.178
라라490981,136.267
라라491865,1416.918
라라491912,563.915
라라491913,58.16
라라492858,955.463
라라492859,9072.51
라라492865,797.911
라라492912,3161.991
라라492913,4452.477
라라492915,2358.126
라라492916,2965.545
라라493857,1796.31
라라493858,1619.653
라라493859,8107.713
라라493860,603.416
라라493862,1710.396
라라494857,8818.007
라라494858,5394.845
라라495859,3748.81
라라495862,2307.711
라라495863,1558.139
라라495898,2099.525
라라496857,5988.869
라라496858,1326.776
라라496859,2307.659
라라496938,2763.269
라라497859,4161.96
라라497860,178.279
라라498856,244.683
라라498857,1564.47
라라498858,14051.735
라라498859,11228.032
라라498860,3336.221
라라499857,8499.044
라라499858,9878.273
라라499859,3547.572
라라499860,463.902
라라500856,2631.307
라라500857,11557.036
라라500858,11351.254
라라500859,5399.224
라라500860,1250.456
라라500861,1937.082
라라501856,1800.849
라라501857,2044.814
라라501858,2996.013
라라501859,12657.125
라라501860,4345.477
라라501861,6057.196
라라501888,588.814
라라502858,1079.496
라라502859,7772.109
라라502860,5499.606
라라502861,7424.395
라라502862,855.797
라라502887,1766.015
라라503859,7231.034
라라503860,29635.373
라라503861,4464.227
라라503862,2716.183
라라503863,3450.731
라라503867,54.485
라라503887,2175.945
라라504859,1422.895
라라504860,4752.07
라라504861,947.844
라라504862,6440.291
라라504863,4127.588
라라504864,536.677
라라505859,4094.856
라라505860,1795.058
라라505861,5600.523
라라505862,4671.708
라라505863,6026.33
라라506859,1795.651
라라506861,368.546
라라506864,239.967
라라506885,227.941
라라506888,777.694
라라506889,4290.873
라라507858,3203.843
라라507859,40.774
라라507863,1315.491
라라507864,921.719
라라507865,2581.709
라라507885,4974.139
라라507886,2104.767
라라508858,4346.445
라라508859,1927.585
라라508861,1511.946
라라508862,1614.096
라라508863,6771.38
라라508864,6718.116
라라508865,5999.547
라라508866,2944.417
라라508881,2670.392
라라508882,1021.149
라라508883,2529.089
라라508884,3500.908
라라508885,3392.624
라라508887,82.959
라라508888,329.84
라라509858,1022.813
라라509860,48.207
라라509861,4301.791
라라509862,5189.9
라라509863,402.132
라라509865,8964.997
라라509866,8821.792
라라509867,2858.806
라라509871,385.399
라라509872,103.907
라라509881,3719.115
라라509882,1387.327
라라509885,1602.366
라라509889,5121.976
라라510859,5352.651
라라510860,986.66
라라510861,154.392
라라510862,3165.613
라라510863,5352.565
라라510866,14772.192
라라510867,6629.103
라라510868,5630.602
라라510869,1726.502
라라510871,1114.202
라라510872,2795.48
라라510880,632.757
라라510881,138.446
라라510885,3808.277
라라510886,3922.092
라라511859,1411.795
라라511860,347.03
라라511861,206.777
라라511864,16685.715
라라511865,17474.617
라라511866,13839.546
라라511868,4499.226
라라511869,6483.918
라라511870,3222.326
라라511871,2774.386
라라511873,1268.442
라라511874,1868.447
라라511880,6866.377
라라511886,7190.523
라라511887,2172.909
라라512861,4.115
라라512863,46778.339
라라512865,5070.958
라라512866,3056.523
라라512868,434.45
라라512869,4324.676
라라512870,12688.06
라라512871,9504.476
라라512872,5656.646
라라512873,3769.601
라라512874,4343.984
라라512875,5583.613
라라512876,3219.277
라라512880,2154.198
라라512881,1748.634
라라512884,2250.13
라라512885,7834.32
라라512886,8518.712
라라512887,7747.541
라라512889,987.327
라라513862,17997.224
라라513863,58941.865
라라513864,44593.416
라라513865,7758.936
라라513866,2680.119
라라513867,413.162
라라513868,2660.076
라라513869,1664.714
라라513870,4193.262
라라513871,7895.697
라라513872,5489.737
라라513873,5287.311
라라513875,1696.173
라라513876,5346.844
라라513877,3595.182
라라513878,462.138
라라513879,842.191
라라513880,3031.654
라라513881,1251.78
라라513884,2827.844
라라513885,6365.955
라라513886,8890.377
라라513887,5250.711
라라513889,1268.383
라라514854,3168.2
라라514855,1123.45
라라514862,34247.322
라라514863,33830.084
라라514864,26986.293
라라514865,7974.636
라라514866,9411.503
라라514867,3572.568
라라514868,2209.011
라라514869,271.392
라라514871,3608.477
라라514872,6446.344
라라514873,7043.482
라라514875,2142.456
라라514876,3022.23
라라514877,1362.691
라라514879,4343.999
라라514880,3485.089
라라514884,4192.377
라라514885,12855.27
라라514886,10580.225
라라514887,7352.905
라라514913,1572.435
라라514914,2414.074
라라515863,7146.409
라라515864,12849.186
라라515865,10292.221
라라515866,9499.824
라라515868,342.075
라라515869,1084.311
라라515870,410.308
라라515871,1.599
라라515872,2771.267
라라515873,6020.743
라라515874,159.373
라라515875,3043.246
라라515876,4564.495
라라515877,143.039
라라515885,3460.362
라라515886,5405.727
라라515887,3465.181
라라515888,2611.796
라라515891,1097.177
라라515894,312.322
라라515913,415.302
라라516852,123.1
라라516853,3998.562
라라516854,77.362
라라516864,3199.055
라라516865,9123.311
라라516866,11214.625
라라516867,3973.643
라라516870,6575.315
라라516872,2017.175
라라516873,2030.683
라라516874,2100.385
라라516875,12086.232
라라516876,15059.908
라라516877,3707.592
라라516885,2320.672
라라516886,5213.871
라라516888,7871.299
라라516889,2226.801
라라516890,3510.107
라라516891,2322.57
라라516893,4989.282
라라516894,4688.637
라라516895,2694.323
라라516896,702.555
라라516897,140.814
라라517865,4585.291
라라517866,14953.002
라라517867,1412.67
라라517870,93.5
라라517872,557.745
라라517873,2735.052
라라517874,2246.718
라라517876,6424.505
라라517877,11017.192
라라517880,39.534
라라517881,5007.293
라라517883,2570.403
라라517884,21.105
라라517887,9256.559
라라517888,34157.754
라라517889,12578.636
라라517890,16204.49
라라517891,7355.023
라라517892,10567.883
라라517893,7489.694
라라517894,9820.479
라라517895,12501.489
라라517896,7346.309
라라517897,2621.112
라라518870,1122.079
라라518871,7063.899
라라518872,8162.705
라라518873,8647.9
라라518874,1785.031
라라518875,5046.67
라라518876,14928.028
라라518877,8355.837
라라518878,631.738
라라518880,10742.553
라라518881,8950.814
라라518882,13460.828
라라518883,6637.231
라라518884,1963.929
라라518885,243.038
라라518886,3804.834
라라518887,17607.25
라라518889,17053.292
라라518890,7694.581
라라518891,5845.551
라라518892,21549.53
라라518893,18293.719
라라518894,8118.902
라라518895,15491.379
라라518903,872.632
라라518904,4252.404
라라519870,1608.887
라라519871,9934.945
라라519872,9760.932
라라519873,4241.317
라라519874,5919.611
라라519875,5593.182
라라519876,5864.883
라라519879,3201.734
라라519880,8989.443
라라519881,4699.577
라라519882,6062.804
라라519883,6354.482
라라519884,4300.125
라라519885,4009.337
라라519886,8218.984
라라519887,15344.514
라라519888,11827.485
라라519889,22551.622
라라519890,14711.651
라라519891,5273.64
라라519892,12333.005
라라519893,11733.748
라라519894,169.769
라라519895,6855.772
라라519896,2949.705
라라519897,1157.364
라라520872,2971.853
라라520873,3468.368
라라520874,5362.287
라라520875,8013.341
라라520876,20624.387
라라520877,395.926
라라520878,2977.026
라라520879,1424.567
라라520880,4668.561
라라520881,11358.52
라라520882,1876.578
라라520884,2759.89
라라520885,7224.783
라라520886,10671.911
라라520887,3236.995
라라520888,11454.322
라라520889,18982.491
라라520890,6541.97
라라520891,2499.155
라라520892,6547.409
라라520893,5762.753
라라520894,4697.591
라라520895,6651.438
라라520896,3774.013
라라520897,697.919
라라520898,2672.477
라라520899,379.965
라라520903,1951.553
라라520904,533.314
라라521873,6291.798
라라521874,1954.597
라라521875,7484.971
