시도명,시군구명,행정동,어린이집코드,어린이집명,운영현황,어린이집유형,어린이집특성,우편번호,상세주소,전화번호,아동정원수,아동현원수,보육교직원현원,보육실수,보육실면적,놀이터수,위도,경도,통학차량운영여부,인가일자,CCTV설치수,데이터기준일자
경상남도,진주시,하대동,48170000003,하대어린이집,Y,국공립,영아전담 야간연장,52761,경상남도 진주시 모덕로197번길 7 (하대동),055-753-9165,69,40,17,6,195,1,35.18919341,128.1152968,Y,1990-09-11,1,2024-04-02
경상남도,진주시,상대동,48170000006,장애인종합복지관어린이집,Y,국공립,장애아전문,52782,경상남도 진주시 동진로 273 (상대동),055-763-4440,40,31,13,6,179,0,35.18094422,128.1210066,Y,2003-09-22,0,2024-04-02
경상남도,진주시,이반성면,48170000008,은혜어린이집,Y,사회복지법인,일반,52614,경상남도 진주시 이반성면 오봉산로 739,055-754-7303,39,0,0,7,205,1,35.17088574,128.3272509,Y,1992-08-20,1,2024-04-02
경상남도,진주시,가호동,48170000011,가좌어린이집,Y,국공립,일반,52820,경상남도 진주시 가호로 26 (가좌동  진주가좌주공아파트),055-754-0041,27,21,11,4,88,0,35.16207459,128.1084912,Y,1994-06-13,0,2024-04-02
경상남도,진주시,상봉동,48170000012,상봉어린이집,Y,국공립,장애아통합 야간연장,52661,경상남도 진주시 북장대로85번길 11 (상봉동),055-741-6453,131,77,27,8,424,1,35.19729301,128.0718284,Y,1982-12-01,1,2024-04-02
경상남도,진주시,상대동,48170000013,근로자가족복지회관어린이집,Y,국공립,장애아통합,52782,경상남도 진주시 동진로263번길 14 (상대동),055-759-5658,70,54,20,10,426,1,35.18126952,128.1211213,Y,1997-03-17,1,2024-04-02
경상남도,진주시,중앙동,48170000014,수정어린이집,Y,국공립,장애아통합,52753,경상남도 진주시 촉석로217번길 20 (수정동),055-742-5557,72,63,17,5,208,1,35.19726972,128.0854852,Y,1990-09-11,1,2024-04-02
경상남도,진주시,중앙동,48170000015,옥봉어린이집,Y,국공립,일반,52752,경상남도 진주시 향교로120번길 9-6 (옥봉동),055-741-5586,60,42,9,6,174,1,35.19572218,128.0913609,Y,1994-03-09,1,2024-04-02
경상남도,진주시,대곡면,48170000018,대곡어린이집,Y,국공립,일반,52607,경상남도 진주시 대곡면 진의로1079번길 9,055-744-0009,30,18,8,5,178,1,35.26302234,128.1682549,Y,1990-05-03,1,2024-04-02
경상남도,진주시,집현면,48170000020,진양어린이집,Y,사회복지법인,일반,52639,경상남도 진주시 집현면 진산로703번길 19-11,055-772-5668,49,0,0,3,141,1,35.23869989,128.0861165,Y,1992-05-25,1,2024-04-02
경상남도,진주시,내동면,48170000021,혜림어린이집,Y,사회복지법인,일반,52849,경상남도 진주시 내동면 신율길 13,055-761-5955,169,166,22,9,467,1,35.1473905,128.0940407,Y,1996-04-19,1,2024-04-02
경상남도,진주시,이현동,48170000023,한솔어린이집,Y,사회복지법인,일반,52654,경상남도 진주시 나불로8번길 33 (이현동),055-747-8167,49,24,8,5,195,1,35.20004527,128.0561287,Y,1996-03-06,1,2024-04-02
경상남도,진주시,문산읍,48170000027,원광어린이집,Y,법인 단체등,야간연장,52832,경상남도 진주시 문산읍 소문길17번길 17,055-761-4759,99,83,18,5,216,1,35.17213006,128.1638792,Y,1992-01-15,1,2024-04-02
경상남도,진주시,가호동,48170000028,사회복지법인정원어린이집,Y,사회복지법인,영아전담,52817,경상남도 진주시 가호로61번길 4 (호탄동),055-758-7474,72,50,15,5,196,2,35.16446282,128.1130697,Y,2005-02-19,2,2024-04-02
경상남도,진주시,상평동,48170000031,상평어린이집,Y,국공립,장애아통합,52814,경상남도 진주시 돗골로25번길 2 (상평동),055-752-7900,79,37,12,7,177,1,35.17063538,128.1126205,Y,1990-09-11,1,2024-04-02
경상남도,진주시,천전동,48170000033,칠암어린이집,Y,국공립,일반,52723,경상남도 진주시 강남로177번길 30-4 (칠암동),055-752-8762,99,90,22,8,360,1,35.18369238,128.0928757,Y,1990-09-11,1,2024-04-02
경상남도,진주시,정촌면,48170000034,강주어린이집,Y,법인 단체등,일반,52847,경상남도 진주시 정촌면 강주길66번길 7,055-754-9445,46,45,14,5,129,1,35.11306028,128.0992835,Y,1996-03-04,1,2024-04-02
경상남도,진주시,수곡면,48170000037,수곡어린이집,Y,국공립,일반,52645,경상남도 진주시 수곡면 곤수로898번길 16-6,055-754-5080,50,14,8,6,211,1,35.194291,127.9392562,Y,1998-02-28,1,2024-04-02
경상남도,진주시,하대동,48170000042,새에덴어린이집,Y,민간,일반,52742,경상남도 진주시 하대로26번길 33 (하대동),055-757-3234,49,44,12,5,161,0,35.19531556,128.1108778,Y,1997-09-23,0,2024-04-02
경상남도,진주시,상봉동,48170000047,푸른재능어린이집,Y,민간,일반,52747,경상남도 진주시 비봉로 108 (상봉동),055-743-4024,99,57,13,8,342,1,35.20012094,128.0788649,Y,2005-01-18,1,2024-04-02
경상남도,진주시,상평동,48170000048,차일드어린이집,Y,민간,야간연장,52796,경상남도 진주시 솔밭로92번길 19-4 (상평동),055-758-6904,98,0,2,11,267,1,35.17771831,128.1092817,Y,2006-04-18,1,2024-04-02
경상남도,진주시,평거동,48170000051,누리어린이집,Y,민간,야간연장,52701,경상남도 진주시 평거로39번길 17 관리동 (평거동  들말한보타운),055-748-5223,39,0,1,4,182,0,35.17371637,128.063049,Y,1998-05-21,0,2024-04-02
경상남도,진주시,이현동,48170000052,영지 어린이집,Y,민간,일반,52666,경상남도 진주시 평거로 294 (이현동),055-742-6870,134,81,18,9,435,2,35.19323747,128.0620373,Y,2004-03-03,2,2024-04-02
경상남도,진주시,초장동,48170000054,숲속연어어린이집,Y,민간,일반,52730,경상남도 진주시 장재새미길 38 (장재동),055-758-4825,88,58,12,7,393,1,35.20819911,128.0980109,Y,2012-04-30,1,2024-04-02
경상남도,진주시,천전동,48170000056,동원어린이집,Y,민간,일반,52718,경상남도 진주시 진주대로 789 116동(주약동  한보은빛마을아파트),055-758-3354,99,56,12,6,232,2,35.17077226,128.0937218,Y,2002-04-19,2,2024-04-02
경상남도,진주시,가호동,48170000060,꿈나무어린이집,Y,민간,일반,52820,경상남도 진주시 가호로 26 (가좌동  가좌주공아파트),055-755-4316,72,28,8,5,192,2,35.16207459,128.1084912,Y,1997-06-19,2,2024-04-02
경상남도,진주시,하대동,48170000063,한마음어린이집,Y,민간,일반,52776,경상남도 진주시 상대로69번길 16 (하대동),055-758-8757,90,49,12,5,295,1,35.18591045,128.119872,Y,1994-01-04,1,2024-04-02
경상남도,진주시,상평동,48170000064,아이뜰어린이집,Y,민간,야간연장,52804,경상남도 진주시 돗골로94번길 17 (상평동),055-752-1800,79,32,13,7,205,1,35.17671115,128.1144404,Y,2000-09-08,1,2024-04-02
경상남도,진주시,상봉동,48170000065,즐거운어린이집,Y,민간,야간연장,52746,경상남도 진주시 의병로 160 (상봉동),055-746-1758,67,0,5,6,178,1,35.20155688,128.0761131,Y,2006-05-08,1,2024-04-02
경상남도,진주시,판문동,48170000073,키튼아일랜드어린이집,Y,민간,일반,52647,경상남도 진주시 서장대로61번길 7 (판문동),055-747-6217,139,72,13,10,477,1,35.18755867,128.0452045,Y,2004-01-14,1,2024-04-02
