학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000024401,서진초등학교,초등학교,2014-03-03,공립,본교,운영,경상남도 진주시 평거동 800,경상남도 진주시 새평거로 85,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.16901963,128.056655,2024-03-22
B000013333,진주외국어고등학교,고등학교,1970-12-26,사립,본교,운영,경상남도 진주시 일반성면 개암리 884,경상남도 진주시 일반성면 동부로 2014-6,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.16965618,128.281668,2024-03-22
B000024197,은하수초등학교,초등학교,2022-03-01,공립,본교,운영,경상남도 진주시 가좌동 1988,경상남도 진주시 진주역로73번길 7,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.15124455,128.1108115,2024-03-22
B000007566,남강초등학교,초등학교,1983-03-01,공립,본교,운영,경상남도 진주시 상대동 645-9,경상남도 진주시 모덕로 99,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.18377511,128.1097162,2024-03-22
B000007584,반성초등학교,초등학교,1927-04-02,공립,본교,운영,경상남도 진주시 일반성면 개암리 805-3,경상남도 진주시 일반성면 동부로 2060,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17007701,128.2857396,2024-03-22
B000007568,배영초등학교,초등학교,1945-10-30,공립,본교,운영,경상남도 진주시 신안동 710-1,경상남도 진주시 석갑로 28,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17667563,128.0670954,2024-03-22
B000007578,문산초등학교,초등학교,1924-04-18,공립,본교,운영,경상남도 진주시 문산읍 소문리 225,경상남도 진주시 문산읍 소문길 11,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.1706124,128.1626334,2024-03-22
B000007585,이반성초등학교,초등학교,1927-04-23,공립,본교,운영,경상남도 진주시 이반성면 하곡리 977,경상남도 진주시 이반성면 오봉산로 762,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17329962,128.3290479,2024-03-22
B000007563,초전초등학교,초등학교,2011-03-01,공립,본교,운영,경상남도 진주시 초전동 1634-1,경상남도 진주시 초전북로,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.20787261,128.1144688,2024-03-22
B000011049,반성중학교,중학교,1952-05-12,공립,본교,운영,경상남도 진주시 사봉면 무촌리 107,경상남도 진주시 사봉면 동부로 1917,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.17562282,128.2749072,2024-03-22
B000011037,진주제일중학교,중학교,2005-03-01,공립,본교,운영,경상남도 진주시 평거동 748-2,경상남도 진주시 평거로 60,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2013-11-29,2023-11-15,35.1756149,128.0666949,2024-03-22
